cod_aerolinea,nombre_aerolinea,cod_pais,cod_iata,cod_icao,identificacion,pais_aerolinea,sw_activa
01033,Air Almaty ZK,KAZ,Z9,LMZ,ALUNK,Kazakhstan,N
01034,Aerolane,ECU,XL,LNE,LAN ECUADOR,Ecuador,Y
01035,Airlink,ZAF,Z9,LNK,LINK,South Africa,N
01036,Aerolineas Internacionales,MEX,Z9,LNT,LINEAINT,Mexico,N
01037,Alok Air,SDN,Z9,LOK,ALOK AIR,Sudan,N
01038,Air Saint Louis,SEN,Z9,LOU,AIR SAINTLOUIS,Senegal,N
01039,Alpine Aviation,ZAF,Z9,LPC,NETSTAR,South Africa,N
01040,Air Alps Aviation,AUT,A6,LPV,ALPAV,Austria,N
01041,Alrosa-Avia,RUS,Z9,LRO,ALROSA,Russia,N
01042,Al Rida Airways,MRT,Z9,LRW,AL RIDA,Mauritania,N
01043,Aurela,LTU,Z9,LSK,AURELA,Lithuania,N
01044,Aerobusinessservice,RUS,Z9,LSM,I999,Russia,N
01045,Alsair,FRA,Z9,LSR,ALSAIR,France,N
01046,Aerotaxis Latinoamericanos,MEX,Z9,LTI,LATINO,Mexico,N
01047,Alninati Aeronautics,CHE,Z9,LUC,STEF,Switzerland,N
01048,Atlantis European Airways,ARM,TD,LUR,I999,Armenia,Y
01049,Aliven,ITA,Z9,LVN,ALIVEN,Italy,N
01050,Aviavilsa,LTU,Z9,LVR,AVIAVILSA,Lithuania,N
01051,Air Luxor GB,GNB,L8,LXG,LUXOR GOLF,Guinea-Bissau,N
01052,Air Luxor,PRT,LK,LXR,AIRLUXOR,Portugal,Y
01053,Apatas Air,LTU,Z9,LYT,APATAS,Lithuania,N
01054,Air Ban,BGR,Z9,LZP,DOC AIR,Bulgaria,N
01055,Air Lazur,BGR,Z9,LZR,LAZUR BEE-GEE,Bulgaria,N
01056,Aerodromo De La Mancha,ESP,Z9,MAM,AEROMAN,Spain,N
01057,Air Mauritius,MUS,MK,MAU,AIRMAURITIUS,Mauritius,Y
01058,Avag Air,AUT,Z9,MBA,AVAG AIR,Austria,N
01059,Air Manas,KGZ,Z9,MBB,AIR MANAS,Kyrgyzstan,N
01060,Airjet Exploracao Aerea De Carga,AGO,Z9,MBC,MABECO,Angola,N
01061,Aeriantur-M,MDA,Z9,MBV,AEREM,Moldova,N
01062,Air Mercia,GBR,Z9,MCB,WESTMID,United Kingdom,N
01063,Air Medical,GBR,Z9,MCD,AIR MED,United Kingdom,N
01064,Aerolineas Marcos,MEX,Z9,MCO,MARCOS,Mexico,N
01065,Atlantic Aero and Mid-Atlantic Freight,USA,Z9,MDC,NIGHT SHIP,United States,N
01066,Air Madagascar,MDG,MD,MDG,AIR MADAGASCAR,Madagascar,Y
01067,Aerosud Charter,ZAF,Z9,MDX,MEDAIR,South Africa,N
01068,Air Meridan,NGA,Z9,MEF,EMPENNAGE,Nigeria,N
01069,Aero McFly,MEX,Z9,MFL,MCFLY,Mexico,N
01070,Asia Pacific Airlines,USA,Z9,MGE,MAGELLAN,United States,N
01071,Aeromagar,MEX,Z9,MGS,AEROMAGAR,Mexico,N
01072,Aero Premier De Mexico,MEX,Z9,MIE,AEROPREMIER,Mexico,N
01073,Air Moldova,MDA,9U,MLD,AIR MOLDOVA,Moldova,Y
01074,Amal Airlines,DJI,Z9,MLF,AMAL,Djibouti,N
01075,Air Mali,MLI,Z9,MLI,AIR MALI,Mali,N
01076,Air Madeleine,CAN,Z9,MLN,AIR MADELEINE,Canada,N
01077,Aermarche,ITA,Z9,MMC,AERMARCHE,Italy,N
01078,Air Alsie,DNK,Z9,MMD,MERMAID,Denmark,N
01079,Aviation Company Meridian,RUS,Z9,MMM,AVIAMERIDIAN,Russia,N
01080,AMP Incorporated,USA,Z9,MMP,AMP-INC,United States,N
01081,Airmax,PER,Z9,MMX,PERUMAX,Peru,N
01082,Aerolineas Amanecer,MEX,Z9,MNE,AEROAMANECER,Mexico,N
01083,Aero Mongolia,MNG,M0,MNG,AERO MONGOLIA,Mongolia,N
01084,Air Monarch Cargo,MEX,Z9,MOC,MONARCH CARGO,Mexico,N
01085,Aeropublicitaria De Angola,AGO,Z9,MOP,PUBLICITARIA,Angola,N
01086,Aerolineas De Morelia,MEX,Z9,MOR,AEROMORELIA,Mexico,N
01087,Air Plus Comet,ESP,A7,MPD,RED COMET,Spain,Y
01088,Aeromexpress,MEX,QO,MPX,AEROMEXPRESS,Mexico,N
01089,Air ITM,FRA,Z9,MQT,MUSKETEER,France,N
01090,Aeromorelos,MEX,Z9,MRL,AEROMORELOS,Mexico,N
01091,Aerocharter,CAN,Z9,MRM,MARITIME,Canada,N
01092,Abas,CZE,Z9,MRP,ABAS,Czech Republic,N
01093,Air Mauritanie,MRT,MR,MRT,MIKE ROMEO,Mauritania,N
01094,Air Cairo,EGY,Z9,MSC,I999,Egypt,N
01095,Air Sport,BGR,Z9,MSK,AIR SPORT,Bulgaria,N
01096,Aeromas,URY,Z9,MSM,AEROMAS EXPRESS,Uruguay,N
01097,Aerol,MEX,Z9,MSO,MESO AMERICANAS,Mexico,N
01098,Aero-Kamov,RUS,Z9,MSV,AERAFKAM,Russia,N
01099,Aerotaxis Metropolitanos,MEX,Z9,MTB,AEROMETROPOLIS,Mexico,N
01100,Aeromet Linea Aerea,CHL,Z9,MTE,AEROMET,Chile,N
01101,Air Metack,AGO,Z9,MTK,AIRMETACK,Angola,N
01102,Air Montegomery,GBR,Z9,MTY,MONTY,United Kingdom,N
01103,Aerotaxi Mexicano,MEX,Z9,MXO,MAXAERO,Mexico,N
01104,Aero Yaqui Mayo,MEX,Z9,MYS,AERO YAQUI,Mexico,N
