cod_aerolinea,nombre_aerolinea,cod_pais,cod_iata,cod_icao,identificacion,pais_aerolinea,sw_activa
02796,Hyack Air,CAN,Z9,HYA,HYACK,Canada,N
02797,Hydro Air Flight Operations,ZAF,Z9,HYC,HYDRO CARGO,South Africa,N
02798,Hydro-Québec,CAN,Z9,HYD,HYDRO,Canada,N
02799,Héli Sécurité Helicopter Airlines,FRA,H4,Z99,I999,France,N
02800,International Air Carrier Association,BEL,Z9,ITC,I999,Belgium,N
02801,IBC Airways,USA,II,CSQ,CHASQUI,United States,N
02802,IBL Aviation,MUS,Z9,IBL,CATOVAIR,Mauritius,N
02803,IBM Euroflight Operations,CHE,Z9,BBL,BLUE,Switzerland,N
02804,ICAO,Z99,Z9,YYY,I999,,N
02805,ICAR Airlines,UKR,C3,Z99,I999,Ukraine,N
02806,ICC Canada,CAN,Z9,CIC,AIR TRADER,Canada,N
02807,IDG Technology Air,CZE,Z9,IDG,INDIGO,Czech Republic,N
02808,IFL Group,USA,Z9,IFL,EIFEL,United States,N
02809,II Lione Alato Arl,GBR,Z9,RDE,FLIGHT RED,United Kingdom,N
02810,IJM International Jet Management,AUT,Z9,IJM,JET MANAGEMENT,Austria,N
02811,IKI International Airlines,JPN,Z9,IKK,IKIAIR,Japan,N
02812,IKON FTO,DEU,Z9,IKN,IKON,Germany,N
02813,IMP Aviation Services,CAN,Z9,BLU,BLUENOSE,Canada,N
02814,IMP Group Aviation Services,CAN,Z9,XGG,I999,Canada,N
02815,INFINI Travel Information,JPN,1F,Z99,I999,Japan,N
02816,IPEC Aviation,AUS,Z9,IPA,IPEC,Australia,N
02817,IPM Europe,GBR,Z9,IPM,SHIPEX,United Kingdom,N
02818,IRS Airlines,NGA,Z9,LVB,SILVERBIRD,Nigeria,N
02819,ISD Avia,UKR,Z9,ISD,ISDAVIA,Ukraine,N
02820,ITA Software,USA,1U,Z99,I999,United States,N
02821,IVV Femida,RUS,Z9,FDF,I999,Russia,N
02822,Iberia Airlines,ESP,IB,IBE,IBERIA,Spain,Y
02823,Ibertour Servicios Aereos,ESP,Z9,IBR,IBERTOUR,Spain,N
02824,Ibertrans Aerea,ESP,Z9,IBT,IBERTRANS,Spain,N
02825,Iberworld,ESP,TY,IWD,I999,Spain,Y
02826,Ibex Airlines,JPN,FW,IBX,IBEX,Japan,Y
02827,Ibicenca Air,ESP,Z9,IBC,IBICENCA,Spain,N
02828,Ibk-Petra,SDN,Z9,AKI,,Sudan,N
02829,Icar Air,BIH,Z9,RAC,TUZLA AIR,Bosnia and Herzegovina,Y
02830,Icare Franche Compte,FRA,Z9,FRC,FRANCHE COMPTE,France,N
02831,Icaro,ECU,Z9,ICD,ICARO,Ecuador,N
02832,Icaro,ITA,Z9,ICA,ICARFLY,Italy,N
02833,Icarus,ITA,Z9,IUS,ICARUS,Italy,N
02834,Icejet,ISL,Z9,ICJ,ICEJET,Iceland,N
02835,Icelandair,ISL,FI,ICE,ICEAIR,Iceland,Y
02836,Icelandic Coast Guard,ISL,Z9,ICG,ICELAND COAST,Iceland,N
02837,Ikaros DK,DNK,Z9,IKR,IKAROS,Denmark,N
02838,Il Ciocco International Travel Service,ITA,Z9,CIO,CIOCCO,Italy,N
02839,Il-Avia,RUS,Z9,ILV,ILAVIA,Russia,N
02840,Ildefonso Redriguez,MEX,Z9,IDL,ILDEFONSO,Mexico,N
02841,Iliamna Air Taxi,USA,Z9,IAR,ILIAMNA AIR,United States,N
02842,Ilpo Aruba Cargo,ABW,Z9,ILP,I999,Aruba,N
02843,Ilyich-Avia,UKR,Z9,ILL,ILYICHAVIA,Ukraine,N
02844,Imaer,PRT,Z9,IMR,IMAER,Portugal,N
02845,Imair Airlines,AZE,IK,ITX,IMPROTEX,Azerbaijan,Y
02846,Imperial Airways,USA,Z9,PNX,PHOENIX,United States,N
02847,Imtrec Aviation,KHM,Z9,IMT,IMTREC,Cambodia,N
02848,Independence Air,USA,DH,IDE,INDEPENDENCE AIR,United States,N
02849,Independent Air Freighters,AUS,Z9,IDP,INDEPENDENT,Australia,N
02850,IndiGo Airlines,IND,6E,IGO,IFLY,India,Y
02851,India International Airways,IND,Z9,IIL,INDIA INTER,India,N
02852,Indian Air Force,IND,Z9,IFC,INDIAN AIRFORCE,India,N
02853,Indian Airlines,IND,IC,IAC,INDAIR,India,Y
02854,Indicator Company,HUN,Z9,IDR,INDICATOR,Hungary,N
02855,Indigo,USA,I9,IBU,INDIGO BLUE,United States,Y
02856,Indonesia Air Transport,IDN,Z9,IDA,INTRA,Indonesia,N
02857,Indonesia AirAsia,IDN,QZ,AWQ,WAGON AIR,Indonesia,Y
02858,Indonesian Airlines,IDN,IO,IAA,INDO LINES,Indonesia,Y
02859,Industri Pesawat Terbang Nusantara,IDN,Z9,IPN,NUSANTARA,Indonesia,N
02860,Industrias Titan,ESP,Z9,ITN,TITANLUX,Spain,N
02861,Infinit Air,ESP,Z9,FFI,INFINIT,Spain,N
02862,Inflite The Jet Centre,GBR,Z9,INS,I999,United Kingdom,N
02863,Innotech Aviation,CAN,Z9,IVA,INNOTECH,Canada,N
02864,Insel Air International,ANT,Z9,INC,INSELAIR,Netherlands Antilles,N
02865,Instituto Cartografico de Cataluna,ESP,Z9,ICC,CARTO,Spain,N
02866,Intair,CAN,Z9,INT,INTAIRCO,Canada,N
02867,Intal Avia,KGZ,Z9,INL,INTAL AVIA,Kyrgyzstan,N
02868,Intavia Limited,GBR,Z9,FFL,I999,United Kingdom,N
02869,InteliJet Airways,COL,IJ,IJT,INTELIJET,Colombia,N
02870,Intensive Air,ZAF,Z9,XRA,INTENSIVE,South Africa,N
02871,Inter Air,BGR,Z9,ITW,INTER WINGS,Bulgaria,N
02872,Inter Express,TUR,Z9,INX,INTER-EURO,Turkey,N
02873,Inter Islands Airlines,CPV,H4,IIN,I999,Cape Verde,N
02874,Inter RCA,CAF,Z9,CAR,QUEBEC ROMEO,Central African Republic,N
02875,Inter Tropic Airlines,SLE,Z9,NTT,INTER-TROPIC,Sierra Leone,N
02876,Inter-Air,USA,Z9,ITA,CAFEX,United States,N
02877,Inter-Canadian,CAN,Z9,ICN,INTER-CANADIAN,Canada,N
02878,Inter-Island Air,USA,Z9,UGL,UGLY VAN,United States,N
02879,Inter-Mountain Airways,USA,Z9,IMA,INTER-MOUNTAIN,United States,N
02880,Inter-State Aviation,USA,Z9,ITS,INTER-STATE,United States,N
02881,Interair South Africa,ZAF,D6,ILN,INLINE,South Africa,Y
02882,Interaire,MEX,Z9,NTE,INTERMEX,Mexico,N
02883,Interavia Airlines,RUS,ZA,SUW,ASTAIR,Russia,Y
02884,Interaviatrans,UKR,Z9,IVT,INTERAVIA,Ukraine,N
02885,Intercontinental de Aviaci,COL,RS,ICT,CONTAVIA,Colombia,N
02886,Intercopters,ESP,Z9,ICP,CHOPER,Spain,N
02887,Interflight,GBR,Z9,IFT,INTERFLIGHT,United Kingdom,N
02888,Interflight (Learjet),GBR,Z9,IJT,I999,United Kingdom,N
02889,Interfly,ITA,Z9,RFL,INFLY,Italy,N
02890,Interfreight Forwarding,SDN,Z9,IFF,INTERFREIGHT,Sudan,N
02891,Interguide Air,NGA,Z9,IGN,DIVINE AIR,Nigeria,N
02892,Interisland Airlines,PHL,Z9,ISN,TRI-BIRD,Philippines,N
02893,Interisland Airways Limited,TCA,Z9,IWY,ISLANDWAYS,Turks and Caicos Islands,N
02894,Interjet,ITA,Z9,MTF,INTERJET,Italy,N
02895,Interjet Helicopters,GRC,Z9,IHE,INTERCOPTER,Greece,N
02896,Interlink Airlines,ZAF,ID,ITK,INTERLINK,South Africa,Y
02897,International Air Cargo Corporation,EGY,Z9,IAK,AIR CARGO EGYPT,Egypt,N
02898,International Air Corporation,USA,Z9,EXX,EXPRESS INTERNATIONAL,United States,N
02899,International Air Service,USA,Z9,IAS,STARFLEET,United States,N
02900,International Air Services,LBR,Z9,IAX,INTERAIR SERVICES,Liberia,N
02901,International Business Air,SWE,6I,IBZ,INTERBIZ,Sweden,N
02902,International Business Aircraft,USA,Z9,IBY,CENTRAL STAGE,United States,N
02903,International Charter Services,MEX,Z9,ICS,INTERSERVI,Mexico,N
02904,International Charter Xpress,USA,Z9,ICX,INTEX,United States,N
02905,International Committee of the Red Cross,CHE,Z9,RED,RED CROSS,Switzerland,N
02906,International Company for Transport,Z99,Z9,IIG,Trade and Public Works,ALDAWLYH AIR,N
02907,International Flight Training Academy,USA,Z9,IFX,IFTA,United States,N
02908,International Jet Aviation Services,USA,Z9,IJA,I-JET,United States,N
02909,International Jet Charter,USA,Z9,HSP,HOSPITAL,United States,N
02910,International SOS WIndhoek,NAM,Z9,RSQ,SKYMEDIC,Namibia,N
02911,International Sabilisation Assistance Force,GBR,Z9,ISF,I999,United Kingdom,N
02912,International Security Assistance Force,CAN,Z9,THN,ATHENA,Canada,N
02913,International Trans-Air,NGA,Z9,ITH,INTRANS NIGERIA,Nigeria,N
02914,Interport Corporation,USA,Z9,IPT,INTERPORT,United States,N
02915,Intersky,BGR,Z9,IKY,GENERAL SKY,Bulgaria,N
02916,Intersky,AUT,3L,ISK,INTERSKY,Austria,Y
02917,Interstate Airline,NLD,I4,FWA,FREEWAYAIR,Netherlands,N
02918,Intervuelos,MEX,Z9,ITU,INTERLOS,Mexico,N
02919,Inversija,LVA,Z9,INV,INVER,Latvia,N
02920,Iona National Airways,IRL,Z9,IND,IONA,Ireland,N
02921,Iowa Airways,USA,Z9,IOA,IOWA AIR,United States,N
02922,Iran Air,IRN,IR,IRA,IRANAIR,Iran,Y
02923,Iran Aseman Airlines,IRN,EP,IRC,I999,Iran,Y
02924,Iranair Tours,IRN,Z9,IRB,I999,Iran,N
02925,Naft Air Lines,IRN,Z9,IRG,NAFT,Iran,N
02926,Iraqi Airways,IRQ,IA,IAW,IRAQI,Iraq,Y
02927,Irbis Air,KAZ,Z9,BIS,IRBIS,Kazakhstan,N
02928,Irish Air Corps,IRL,Z9,IRL,IRISH,Ireland,N
02929,Irish Air Transport,IRL,Z9,RDK,IRISH TRANS,Ireland,N
02930,Irish Aviation Authority,IRL,Z9,XMR,AUTHORITY,Ireland,N
02931,Irtysh Airlines,UZB,Z9,IRT,IRTYSH AIRLINES,Uzbekistan,N
02932,Irving Oil,CAN,Z9,XIA,I999,Canada,N
02933,Irving Oil Transport,CAN,Z9,KCE,KACEY,Canada,N
02934,Island Air,MEX,Z9,ISI,ISLANDMEX,Mexico,N
02935,Island Air Charters,USA,Z9,ILF,ISLAND FLIGHT,United States,N
02936,Island Air Express,USA,Z9,XYZ,RAINBIRD,United States,N
02937,Island Airlines,USA,IS,Z99,I999,United States,Y
02938,Island Aviation,PHL,Z9,SOY,SORIANO,Philippines,N
02939,Island Aviation Services,MDV,Z9,DQA,I999,Maldives,N
02940,Island Aviation and Travel,GBR,Z9,IOM,ISLE AVIA,United Kingdom,N
02941,Island Express,USA,2S,SDY,SANDY ISLE,United States,N
02942,Cargo Plus Aviation,ARE,8L,CGP,I999,United Arab Emirates,Y
02943,Island Helicopters,USA,Z9,MTP,METROCOPTER,United States,N
02944,Island Link,JPN,Z9,ILC,I999,Japan,N
02945,Islandair Jersey,GBR,Z9,IAJ,JARLAND,United Kingdom,N
02946,Islands Nationair,PNG,CN,Z99,I999,Papua New Guinea,N
02947,Icebird Airline,ISL,Z9,ICB,ICEBIRD,Iceland,N
02948,Islas Airways,ESP,IF,ISW,PINTADERA,Spain,Y
02949,Isle Grande Flying School,USA,Z9,IGS,ISLA GRANDE,United States,N
02950,Islena De Inversiones,HND,WC,ISV,I999,Honduras,Y
02951,Isles of Scilly Skybus,GBR,Z9,IOS,SCILLONIA,United Kingdom,N
02952,Israel Aircraft Industries,ISR,Z9,IAI,ISRAEL AIRCRAFT,Israel,N
02953,Israeli Air Force,ISR,Z9,IAF,I999,Israel,N
02954,Israir,ISR,6H,ISR,ISRAIR,Israel,Y
02955,Istanbul Airlines,TUR,Z9,IST,ISTANBUL,Turkey,N
02956,Itali Airlines,ITA,9X,ACL,ITALI,Italy,N
02957,Italy First,ITA,Z9,IFS,RIVIERA,Italy,N
02958,Itek Air,KGZ,GI,IKA,ITEK-AIR,Kyrgyzstan,Y
02959,Ivoire Aero Services,Z99,Z9,IVS,IVOIRE AERO,Ivory Coast,N
02960,Ivoire Airways,Z99,Z9,IVW,IVOIRAIRWAYS,Ivory Coast,N
02961,Ivoire Jet Express,Z99,Z9,IJE,IVOIRE JET,Ivory Coast,N
02962,Iwamoto Crane Co Ltd,JPN,Z9,OIC,I999,Japan,N
02963,Ixair,FRA,Z9,IXR,X-BIRD,France,N
02964,Izair,TUR,H9,IZM,IZMIR,Turkey,N
02965,Izhavia,RUS,Z9,IZA,IZHAVIA,Russia,N
02966,J C Bamford (Excavators),GBR,Z9,JCB,JAYSEEBEE,United Kingdom,N
02967,J P Hunt Air Carriers,USA,Z9,RFX,REFLEX,United States,N
02968,J-Air,JPN,Z9,JLJ,J AIR,Japan,N
02969,JAL Express,JPN,JC,JEX,JANEX,Japan,Y
02970,JALways,JPN,JO,JAZ,JALWAYS,Japan,Y
02971,JDAviation,GBR,Z9,JDA,JAY DEE,United Kingdom,N
02972,JDP Lux,LUX,Z9,JDP,RED PELICAN,Luxembourg,N
02973,JHM Cargo Expreso,CRI,Z9,JHM,I999,Costa Rica,N
02974,JM Family Aviation,USA,Z9,TQM,TACOMA,United States,N
02975,JMC Airlines,GBR,Z9,JMC,JAYEMMSEE,United Kingdom,N
02976,JSC Transport Automated Information Systems,RUS,1M,Z99,I999,Russia,N
02977,JS Air,PAK,Z9,JSJ,JS CHARTER,Pakistan,N
02978,JS Aviation,MEX,Z9,JES,JAY-ESS AVIATION,Mexico,N
02979,Jackson Air Services,CAN,Z9,JCK,JACKSON,Canada,N
02980,Jade Cargo International,CHN,Z9,JAE,JADE CARGO,China,N
02981,Jamahiriya Airways,LBY,Z9,JAW,JAW,Libya,N
02982,Jambo Africa Airlines,Z99,Z9,JMB,JAMBOAFRICA,Democratic Republic of Congo,N
02983,Jana-Arka,KAZ,Z9,JAK,YANZAR,Kazakhstan,N
02984,Janair,USA,Z9,JAX,JANAIR,United States,N
02985,Japan Air Commuter,JPN,Z9,JAC,COMMUTER,Japan,N
02986,Japan Aircraft Service,JPN,Z9,JSV,I999,Japan,N
02987,Japan Airlines,JPN,JL,JAL,JAPANAIR,Japan,Y
02988,Japan Airlines Domestic,JPN,JL,JAL,J-BIRD,Japan,Y
02989,Japan Asia Airways,JPN,EG,JAA,ASIA,Japan,Y
02990,Japan Transocean Air,JPN,NU,JTA,JAI OCEAN,Japan,Y
02991,Jat Airways,SRB,JU,JAT,JAT,Serbia,Y
02992,Jatayu Airlines,IDN,VJ,JTY,JATAYU,Indonesia,N
02993,Jazeera Airways,KWT,J9,JZR,JAZEERA,Kuwait,Y
02994,Jeju Air,Z99,7C,JJA,JEJU AIR,Republic of Korea,Y
02995,Jenney Beechcraft,USA,Z9,JNY,JENAIR,United States,N
02996,Jeppesen Data Plan,USA,Z9,XLD,I999,United States,N
02997,Jeppesen UK,GBR,Z9,JPN,JETPLAN,United Kingdom,N
02998,Jet Air,POL,Z9,JEA,JETA,Poland,N
02999,Jet Air Group,RUS,Z9,JSI,SISTEMA,Russia,N
03000,Jet Airways,IND,9W,JAI,JET AIRWAYS,India,Y
03001,Jet Airways,USA,QJ,Z99,I999,United States,Y
03002,Jet Aspen Air Lines,USA,Z9,JTX,JET ASPEN,United States,N
03003,Jet Aviation,CHE,Z9,PJS,JETAVIATION,Switzerland,N
03004,Jet Aviation Business Jets,USA,Z9,BZF,BIZFLEET,United States,N
03005,Jet Center Flight Training,ESP,Z9,JCF,JET CENTER,Spain,N
03006,Jet Charter,USA,Z9,JCT,JET CHARTER,United States,N
03007,Jetclub,CHE,0J,Z99,I999,Switzerland,N
03008,Jet Connection,DEU,Z9,JCX,JET CONNECT,Germany,N
03009,Jet Courier Service,USA,Z9,DWW,DON JUAN,United States,N
03010,Jet East International,USA,Z9,JED,JET EAST,United States,N
03011,Jet Executive International Charter,DEU,Z9,JEI,JET EXECUTIVE,Germany,N
03012,Jet Fighter Flights,AUS,Z9,RZA,RAZOR,Australia,N
03013,Jet Freighters,USA,Z9,CFT,CASPER FREIGHT,United States,N
03014,Jet G&D Aviation,ISR,Z9,JGD,JET GEE-AND-DEE,Israel,N
03015,Jet Line International,MDA,Z9,MJL,MOLDJET,Moldova,N
03016,Jet Link,ISR,Z9,JEK,JET OPS,Israel,N
03017,Jet Link Aviation,USA,Z9,HTL,HEARTLAND,United States,N
03018,Jet Norte,MEX,Z9,JNR,JET NORTE,Mexico,N
03019,Jet Rent,MEX,Z9,JRN,JET RENT,Mexico,N
03020,Jet Service,POL,Z9,JDI,JEDI,Poland,N
03021,Jetstar Asia Airways,SGP,3K,JSA,JETSTAR ASIA,Singapore,Y
03022,Jet Stream,MDA,Z9,JSM,JET STREAM,Moldova,N
03023,Jet Trans Aviation,GHA,Z9,JTC,JETRANS,Ghana,N
03024,Jet-2000,RUS,Z9,JTT,MOSCOW JET,Russia,N
03025,Jet-Ops,ARE,Z9,OPS,OPS-JET,United Arab Emirates,N
03026,Jet2.com,GBR,LS,EXS,CHANNEX,United Kingdom,Y
03027,Jet4You,MAR,8J,JFU,ARGAN,Morocco,Y
03028,JetAfrica Swaziland,SWZ,Z9,OSW,BEVO,Swaziland,N
03029,JetBlue Airways,USA,B6,JBU,JETBLUE,United States,Y
03030,JetConnect,NZL,Z9,QNZ,QANTAS JETCONNECT,New Zealand,N
03031,JetMagic,IRL,Z9,JMG,JET MAGIC,Ireland,N
03032,Jetairfly,BEL,JF,JAF,BEAUTY,Belgium,Y
03033,Jetall Holdings,CAN,Z9,JTL,FIREFLY,Canada,N
03034,Jetalliance,AUT,Z9,JAG,JETALLIANCE,Austria,N
03035,Jetclub,CHE,0J,JCS,JETCLUB,Switzerland,N
03036,Jetcorp,USA,Z9,UEJ,JETCORP,United States,N
03037,Jetcraft Aviation,AUS,Z9,JCC,JETCRAFT,Australia,N
03038,Jetex Aviation,LBN,Z9,JXA,I999,Lebanon,N
03039,Jetflite,FIN,Z9,JEF,JETFLITE,Finland,Y
03040,Jetfly Airlines,AUT,Z9,JFL,LINEFLYER,Austria,N
03041,Jetgo International,THA,Z9,JIC,JIC-JET,Thailand,N
03042,Jetlink Express,KEN,Z9,JLX,KEN JET,Kenya,N
03043,Jetlink Holland,NLD,Z9,JLH,I999,Netherlands,N
03044,Jetnova de Aviacion Ejecutiva,ESP,Z9,JNV,JETNOVA,Spain,N
03045,Jetpro,MEX,Z9,JPO,JETPRO,Mexico,N
03046,Jetran Air,ROU,Z9,MDJ,JETRAN AIR,Romania,N
03047,Jetrider International,GBR,Z9,JRI,JETRIDER,United Kingdom,N
03048,Jets Ejecutivos,MEX,Z9,JEJ,MEXJETS,Mexico,N
03049,Jets Personales,ESP,Z9,JEP,JET PERSONALES,Spain,N
03050,Jets Y Servicios Ejecutivos,MEX,Z9,JSE,SERVIJETS,Mexico,N
03051,JetsGo,CAN,SG,JGO,JETSGO,Canada,N
03052,Jetstar Airways,AUS,JQ,JST,JETSTAR,Australia,Y
03053,Jetstream Air,HUN,Z9,JSH,STREAM-AIR,Hungary,N
03054,Jetstream Executive Travel,GBR,Z9,JXT,VANNIN,United Kingdom,N
03055,Jett Paqueteria,MEX,Z9,JPQ,JETT PAQUETERIA,Mexico,N
03056,Jett8 Airlines Cargo,SGP,JX,JEC,I999,Singapore,N
03057,Jettime,DNK,Z9,JTG,JETTIME,Denmark,N
03058,Jettrain Corporation,USA,Z9,JTN,JETTRAIN,United States,N
03059,Jetways of Iowa,USA,Z9,JWY,JETWAYS,United States,N
03060,Jetx Airlines,ISL,GX,JXX,JETBIRD,Iceland,N
03061,Jibair,DJI,Z9,JIB,JIBAIRLINE,Djibouti,N
03062,Jigsaw Project,GBR,Z9,JSW,JIGSAW,United Kingdom,N
03063,Jim Hankins Air Service,USA,Z9,HKN,HANKINS,United States,N
03064,Jim Ratliff Air Service,USA,Z9,RAS,SHANHIL,United States,N
03065,Joanas Avialinijos,LTU,Z9,JDG,LADYBLUE,Lithuania,N
03066,Job Air,CZE,Z9,JBR,JOBAIR,Czech Republic,N
03067,Johnson Air,USA,Z9,JHN,AIR JOHNSON,United States,N
03068,Johnsons Air,GHA,Z9,JON,JOHNSONSAIR,Ghana,N
03069,Johnston Airways,USA,Z9,JMJ,JOHNSTON,United States,N
03070,Joint Military Commission,SDN,Z9,JMM,JOICOMAR,Sudan,N
03071,Jomartaxi Aereo,MEX,Z9,JMT,JOMARTAXI,Mexico,N
03072,Jonsson,Z99,Z9,ODI,H Air Taxi,ODINN,N
03073,Jordan Aviation,JOR,R5,JAV,JORDAN AVIATION,Jordan,N
03074,Jordan International Air Cargo,JOR,Z9,JCI,I999,Jordan,N
03075,Jorvik,ISL,Z9,JVK,ISLANDIC,Iceland,N
03076,Ju-Air,CHE,Z9,JUR,JUNKERS,Switzerland,N
03077,Juanda Flying School,IDN,Z9,JFS,JAEMCO,Indonesia,N
03078,Juba Cargo Services & Aviation Company,SDN,Z9,JUC,JUBA CARGO,Sudan,N
03079,Jubba Airways,Z99,Z9,JUB,JUBBA,Somali Republic,N
03080,Jubilee Airways,GBR,Z9,DKE,DUKE,United Kingdom,N
03081,Juneyao Airlines,CHN,HO,DKH,JUNEYAO AIRLINES,China,Y
03082,Justair Scandinavia,SWE,Z9,MEY,MELODY,Sweden,N
03083,Justice Prisoner and Alien Transportation System,USA,Z9,DOJ,JUSTICE,United States,N
03084,K D Air Corporation,CAN,Z9,KDC,KAY DEE,Canada,N
03085,K S Avia,LVA,Z9,KSA,SKY CAMEL,Latvia,N
03086,K-Mile Air,THA,Z9,KMI,KAY-MILE AIR,Thailand,N
03087,KD Avia,RUS,KD,KNI,KALININGRAD AIR,Russia,Y
03088,KLM Cityhopper,NLD,WA,KLC,CITY,Netherlands,Y
03089,KLM Helicopter,NLD,Z9,KLH,KLM HELI,Netherlands,N
03090,KLM Royal Dutch Airlines,NLD,KL,KLM,KLM,Netherlands,Y
03091,Kabo Air,NGA,N2,QNK,KABO,Nigeria,N
03092,Kahama Mining Corporation,TZA,Z9,KMC,KAHAMA,Tanzania,N
03093,Kaiser Air,USA,Z9,KAI,KAISER,United States,N
03094,Kalitta Air,USA,K4,CKS,CONNIE,United States,N
03095,Kalitta Charters,USA,Z9,KFS,KALITTA,United States,N
03096,Kallat El Saker Air Company,LBY,Z9,KES,KALLAT EL SKER,Libya,N
03097,Kam Air,AFG,RQ,KMF,KAMGAR,Afghanistan,Y
03098,Kampuchea Airlines,KHM,E2,KMP,KAMPUCHEA,Cambodia,N
03099,Kanaf-Arkia Airlines,ISR,Z9,KIZ,I999,Israel,N
03100,Kanfey Ha'emek Aviation,ISR,Z9,KHE,KANFEY HAEMEK,Israel,N
03101,Kansas State University,USA,Z9,KSU,K-STATE,United States,N
03102,Karat,RUS,V2,AKT,AVIAKARAT,Russia,N
03103,Karibu Airways Company,TZA,Z9,KRB,KARIBU AIR,Tanzania,N
03104,Karlog Air Charter,DNK,Z9,KLG,KARLOG,Denmark,N
03105,Karthago Airlines,TUN,Z9,KAJ,KARTHAGO,Tunisia,N
03106,Kartika Airlines,IDN,Z9,KAE,KARTIKA,Indonesia,N
03107,Kata Transportation,SDN,Z9,KTV,KATAVIA,Sudan,N
03108,Katekavia,RUS,Z9,KTK,KATEKAVIA,Russia,N
03109,Kato Airline,NOR,Z9,KAT,KATO-AIR,Norway,N
03110,Kavminvodyavia,RUS,KV,MVD,AIR MINVODY,Russia,Y
03111,Kavouras Inc,USA,Z9,XKA,I999,United States,N
03112,Kaz Agros Avia,KAZ,Z9,KRN,ANTOL,Kazakhstan,N
03113,Kaz Air West,KAZ,Z9,KAW,KAZWEST,Kazakhstan,N
03114,Kazan Aviation Production Association,RUS,Z9,KAO,KAZAVAIA,Russia,N
03115,Kazan Helicopters,RUS,Z9,KPH,KAMA,Russia,N
03116,Kazavia,KAZ,Z9,KKA,KAKAIR,Kazakhstan,N
03117,Kazaviaspas,KAZ,Z9,KZS,SPAKAZ,Kazakhstan,N
03118,Keenair Charter -,GBR,Z9,JFK,KEENAIR,United Kingdom,N
03119,Kelix Air,NGA,Z9,KLX,KELIX,Nigeria,N
03120,Kelner Airways,CAN,Z9,FKL,KELNER,Canada,N
03121,Kelowna Flightcraft Air Charter,CAN,Z9,KFA,FLIGHTCRAFT,Canada,N
03122,Kendell Airlines,AUS,Z9,KDA,KENDELL,Australia,Y
03123,Kenmore Air,USA,M5,KEN,KENMORE,United States,Y
03124,Kenn Borek Air,CAN,Z9,KBA,BOREK AIR,Canada,N
03125,Kent Aviation,CAN,Z9,KAH,DEKAIR,Canada,N
03126,Kenya Airways,KEN,KQ,KQA,KENYA,Kenya,Y
03127,Kevis,KAZ,Z9,KVS,KEVIS,Kazakhstan,N
03128,Key Airlines,USA,Z9,KEY,KEY AIR,United States,N
03129,Key Lime Air,USA,Z9,LYM,KEY LIME,United States,N
03130,Keystone Aerial Surveys,USA,Z9,FTP,FOOTPRINT,United States,N
03131,Keystone Air Services,CAN,BZ,KEE,KEYSTONE,Canada,N
03132,Khalifa Airways,DZA,Z9,KZW,KHALIFA AIR,Algeria,N
03133,Kharkov Aircraft Manufacturing Company,UKR,Z9,WKH,WEST-KHARKOV,Ukraine,N
03134,Khazar,TKM,Z9,KHR,KHAZAR,Turkmenistan,N
03135,Khoezestan Photros Air Lines,IRN,Z9,KHP,PHOTROS AIR,Iran,N
03136,Khoriv-Avia,UKR,Z9,KRV,KHORIV-AVIA,Ukraine,N
03137,Khors Aircompany,UKR,Z9,KHO,AIRCOMPANY KHORS,Ukraine,N
03138,Khyber Afghan Airlines,AFG,Z9,KHY,KHYBER,Afghanistan,N
03139,Kiev Aviation Plant,UKR,Z9,UAK,AVIATION PLANT,Ukraine,N
03140,King Aviation,GBR,Z9,KNG,KING,United Kingdom,N
03141,Kingfisher Air Services,USA,Z9,BEZ,SEA BREEZE,United States,N
03142,Kingfisher Airlines,IND,IT,KFR,KINGFISHER,India,Y
03143,Knighthawk Air Express,CAN,Z9,KNX,KNIGHT FLIGHT,Canada,N
03144,Kingston Air Services,CAN,Z9,KAS,KINGSTON AIR,Canada,N
03145,Kinnarps,SWE,Z9,KIP,KINNARPS,Sweden,N
03146,Kinshasa Airways,Z99,Z9,KNS,KINSHASA AIRWAYS,Democratic Republic of the Congo,N
03147,Kirov Air Enterprise,RUS,Z9,KTA,VYATKA-AVIA,Russia,N
03148,Kish Air,IRN,Y9,IRK,KISHAIR,Iran,Y
03149,Kitty Hawk Aircargo,USA,Z9,KHA,AIR KITTYHAWK,United States,N
03150,Kitty Hawk Airways,USA,Z9,KHC,CARGO HAWK,United States,N
03151,Kiwi International Air Lines,USA,KP,KIA,KIWI AIR,United States,N
03152,Knight Air,CAN,Z9,KNA,KNIGHTAIR,Canada,N
03153,Knighthawk Express,USA,Z9,KHX,RIZZ,United States,N
03154,Knights Airlines,NGA,Z9,KGT,KNIGHT-LINER,Nigeria,N
03155,Koanda Avacion,ESP,Z9,KOA,KOANDA,Spain,N
03156,Koda International,NGA,Z9,OYE,KODA AIR,Nigeria,N
03157,Kogalymavia Air Company,RUS,7K,KGL,KOGALYM,Russia,Y
03158,Kom Activity,NLD,Z9,KOM,COMJET,Netherlands,N
03159,Komiaviatrans State Air Enterprise,RUS,Z9,KMA,KOMI AVIA,Russia,N
03160,Komiinteravia,RUS,8J,KMV,KOMIINTER,Russia,N
03161,Komsomolsk-on-Amur Air Enterprise,RUS,Z9,KNM,KNAAPO,Russia,N
03162,Koob-Corp - 96 KFT,HUN,Z9,KOB,AUTOFLEX,Hungary,N
